Key,en,es,ar,fr,hi
Add Page,Add Page,Agregar página,إضافة صفحة,Ajouter une page,पृष्ठ जोड़ें
Add Admin,Add Admin,Agregar administrador,إضافة المشرف,Ajouter un administrateur,व्यवस्थापक जोड़ें
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف,Image du profil d'administrateur,व्यवस्थापक प्रोफ़ाइल छवि
Add Country,Add Country,Agregar país,أضف البلد,Ajouter un pays,देश जोड़ें
Country Flag,Country Flag,Bandera del país,علم الدولة,Drapeau du pays,देश का झंडा
Add Currency,Add Currency,Agregar moneda,أضف العملة,Ajouter une devise,मुद्रा जोड़ें
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة,Ajouter un nouvel écran,नई स्क्रीन जोड़ें
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد,Ajouter une nouvelle autorisation,नई अनुमति जोड़ें
selectRole,selectRole,seleccionarRol,حدد الدور,selectRôle,भूमिका चुनें
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن,Attribuer une page/tâche d'autorisation,अनुमति पृष्ठ/कार्य निर्दिष्ट करें
Edit Permission,Edit Permission,Editar permiso,تحرير إذن,Modifier l'autorisation,अनुमति संपादित करें
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد,Ajouter un nouveau rôle,नई भूमिका जोड़ें
Edit Role,Edit Role,Editar rol,تحرير الدور,Modifier le rôle,भूमिका संपादित करें
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض اعرف عميلك,Rejeter KYC,केवाईसी अस्वीकार करें
Add New Bank,Add New Bank,Agregar nuevo banco,إضافة بنك جديد,Ajouter une nouvelle banque,नया बैंक जोड़ें
Add New Category,Add New Category,Agregar nueva categoría,إضافة فئة جديدة,Ajouter une nouvelle catégorie,नई श्रेणी जोड़ें
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف,Modifier l'administrateur,व्यवस्थापक संपादित करें
Edit Bank,Edit Bank,Editar banco,تحرير البنك,Modifier la banque,बैंक संपादित करें
Edit Category,Edit Category,Editar categoría,تحرير الفئة,Modifier la catégorie,श्रेणी संपादित करें
Edit Cash Pickup,Edit Cash Pickup,Editar retiro en ventanilla,تحرير الاستلام النقدي,Modifier le retrait d'espèces,कैश पिकअप संपादित करें
Edit Currency,Edit Currency,Editar moneda,تحرير العملة,Modifier la devise,मुद्रा संपादित करें
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة,Écran Modifier,स्क्रीन संपादित करें
Update Extension,Update Extension,Actualizar extensión,تحديث الامتداد,Mettre à jour l'extension,एक्सटेंशन अपडेट करें
Send Email Agent,Send Email Agent,Enviar agente de correo electrónico,إرسال وكيل البريد الإلكتروني,Envoyer un e-mail à l'agent,ईमेल एजेंट भेजें
Close,Close,Cerca,يغلق,Fermer,बंद करना
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار,Envoyer un courrier test,परीक्षण मेल भेजें
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل,Paramètre global pour,के लिए वैश्विक सेटिंग
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة,Image de la passerelle,गेटवे छवि
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Limite de montant,राशि सीमा
Minimum,Minimum,Mínimo,الحد الأدنى,Minimum,न्यूनतम
Maximum,Maximum,Máximo,الحد الأقصى,Maximum,अधिकतम
Fixed,Fixed,Fijado,مُثَبَّت,Fixé,तय
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة,Devise totale prise en charge,कुल समर्थित मुद्रा
Percent,Percent,Por ciento,نسبة مئوية,Pour cent,प्रतिशत
Gateway Name*,Gateway Name*,Nombre de la puerta de enlace*,اسم البوابة*,Nom de la passerelle*,गेटवे का नाम*
Currency Name*,Currency Name*,Nombre de moneda*,اسم العملة*,Nom de la devise*,मुद्रा का नाम*
Collect Data,Collect Data,Recopilar datos,جمع البيانات,Collecter des données,डेटा जुटाओ
Field Name*,Field Name*,Nombre del campo*,اسم الحقل*,Nom du champ*,फ़ील्ड का नाम*
Field Types*,Field Types*,Tipos de campo*,أنواع الحقول*,Types de champs*,फ़ील्ड प्रकार*
Field Necessity*,Field Necessity*,Necesidad de campo*,ضرورة المجال*,Nécessité du terrain*,फ़ील्ड आवश्यकता*
publisher-input message-input message-input-event,publisher-input message-input message-input-event,entrada-editor entrada-mensaje mensaje-entrada-evento,حدث إدخال رسالة إدخال رسالة الناشر,entrée de l'éditeur entrée de message entrée de message événement,प्रकाशक-इनपुट संदेश-इनपुट संदेश-इनपुट-घटना
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este ticket está solucionado, no puedes enviar mensaje en este momento.",تم حل هذه التذكرة، لا يمكنك إرسال رسالة الآن.,"Ce ticket est résolu, vous ne pouvez pas envoyer de message pour le moment.","इस टिकट का समाधान हो गया है, आप अभी संदेश नहीं भेज सकते।"
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة,Billets en attente,लंबित टिकट
View All,View All,Ver todo,عرض الكل,Tout afficher,सभी को देखें
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة,Billets actifs,सक्रिय टिकट
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة,Billets résolus,हल टिकट
